,Gender,Body_Size,Age_Range,With_Kids,Kids_Category,Basket_Size,Basket_colour,Shirt_Colour,shirt_type,Pants_Colour,pants_type,Washer_No,Dryer_No,Spectacles,Race_chinese,Race_foreigner ,Race_indian,Race_malay,Attire_casual,Attire_formal,Attire_traditional,Wash_Item_blankets,Wash_Item_clothes
0,1,1,28.0,1,4,0,8,2,1,0,1,3,10,0,0,0,0,1,1,0,0,0,1
1,1,2,32.0,0,1,0,3,10,1,4,0,6,9,0,0,0,1,0,1,0,0,0,1
2,0,1,30.0,0,1,0,1,9,1,0,0,4,10,0,0,0,0,1,1,0,0,0,1
4,1,1,34.0,0,1,0,1,2,1,12,0,3,9,0,0,0,1,0,1,0,0,0,1
8,1,2,30.0,0,1,1,7,10,1,0,1,6,10,0,0,0,1,0,1,0,0,0,1
13,1,1,32.0,0,1,0,10,11,1,0,0,3,9,1,0,0,0,1,1,0,0,0,1
14,0,1,55.0,1,4,0,8,3,0,7,0,3,8,1,0,0,0,1,1,0,0,0,1
16,0,2,55.0,1,3,0,1,3,0,7,0,4,7,0,0,0,0,1,1,0,0,0,1
19,0,1,50.0,1,4,0,6,4,0,7,0,5,10,0,0,0,0,1,1,0,0,0,1
20,1,0,34.0,0,1,0,0,9,1,7,0,3,10,0,0,0,1,0,1,0,0,0,1
24,0,1,44.0,0,1,0,9,0,1,0,0,5,7,0,1,0,0,0,1,0,0,0,1
25,0,1,42.0,0,1,1,5,0,1,0,0,3,8,0,1,0,0,0,1,0,0,0,1
31,1,2,40.0,1,2,0,8,10,1,12,1,5,9,1,1,0,0,0,1,0,0,0,1
32,1,1,39.0,0,1,0,1,0,1,0,0,3,8,0,0,1,0,0,1,0,0,0,1
33,0,0,55.0,0,1,0,7,8,0,0,0,3,7,0,0,0,0,1,1,0,0,0,1
37,0,2,35.0,0,1,1,3,5,1,7,1,5,9,0,1,0,0,0,1,0,0,0,1
39,0,0,31.0,0,1,0,8,4,0,6,0,4,9,1,0,0,0,1,0,0,1,0,1
40,0,0,34.0,0,1,0,8,3,0,5,0,5,9,0,0,0,0,1,0,0,1,0,1
41,0,0,36.0,0,1,0,1,5,0,0,0,4,8,0,0,0,0,1,1,0,0,1,0
43,0,0,51.0,0,1,0,1,2,1,11,0,6,9,0,0,0,0,1,1,0,0,0,1
44,0,1,46.0,0,1,0,1,5,0,0,0,3,7,0,0,1,0,0,0,1,0,1,0
45,0,1,51.0,0,1,0,0,9,0,11,0,6,8,0,0,0,0,1,1,0,0,0,1
46,1,0,48.0,0,1,0,7,9,1,0,1,5,7,0,0,0,1,0,1,0,0,0,1
47,0,0,28.0,0,1,0,1,2,0,5,0,3,9,1,0,0,0,1,1,0,0,0,1
48,1,1,49.0,0,1,0,8,0,1,2,1,4,8,0,0,0,1,0,1,0,0,0,1
49,1,0,48.0,0,1,0,8,0,1,2,1,5,10,0,0,0,1,0,1,0,0,0,1
50,0,0,42.0,1,2,0,5,0,1,0,0,5,9,0,0,0,0,1,1,0,0,1,0
51,0,0,42.0,0,1,1,9,9,1,0,0,5,7,0,0,0,1,0,0,0,1,0,1
52,1,1,54.0,0,1,0,9,10,1,0,0,3,9,0,0,1,0,0,1,0,0,0,1
54,0,2,39.0,0,1,0,1,2,0,13,1,6,7,0,1,0,0,0,1,0,0,0,1
55,1,2,53.0,1,4,0,9,3,0,2,0,6,8,0,0,0,0,1,0,1,0,0,1
56,1,2,29.0,1,2,0,0,10,1,4,0,3,10,0,0,0,0,1,1,0,0,0,1
57,1,0,43.0,0,1,0,1,10,1,0,0,6,10,0,0,0,1,0,1,0,0,0,1
58,0,0,29.0,1,4,1,9,3,1,2,0,5,8,0,0,0,1,0,0,0,1,0,1
59,0,2,50.0,1,2,0,0,5,1,7,0,3,8,0,0,0,0,1,1,0,0,0,1
61,1,2,28.0,1,2,0,9,10,1,4,0,4,10,0,0,0,0,1,1,0,0,0,1
62,0,1,55.0,1,0,0,9,2,1,5,1,3,9,0,0,0,1,0,1,0,0,0,1
63,1,2,33.0,0,1,1,10,10,1,0,0,5,10,0,0,0,1,0,1,0,0,1,0
64,1,1,49.0,0,1,1,9,2,0,0,0,6,10,1,0,0,1,0,0,1,0,0,1
65,1,2,42.0,0,1,1,8,3,0,2,0,4,8,0,0,0,0,1,1,0,0,1,0
66,0,1,45.0,0,1,0,6,9,0,0,0,3,7,0,0,0,0,1,0,1,0,1,0
67,1,2,30.0,0,1,1,9,0,1,12,1,6,7,0,0,0,1,0,1,0,0,0,1
75,0,2,31.0,0,1,0,8,2,0,0,0,5,10,0,0,0,0,1,1,0,0,0,1
76,1,2,54.0,0,1,1,9,9,1,0,0,3,8,0,1,0,0,0,1,0,0,0,1
78,1,1,54.0,0,1,1,9,4,1,4,0,5,7,0,0,0,0,1,1,0,0,0,1
79,0,0,45.0,0,1,0,1,5,0,12,0,3,10,1,1,0,0,0,1,0,0,0,1
